Feature,Importance,FeatureName
f67,9.0,participantId_7.0
f68,9.0,participantId_8.0
f662,9.0,10_championStats_omnivamp
f63,8.0,participantId_3.0
f95,7.0,type_LEVEL_UP
f117,7.0,wardType_UNDEFINED
f15,6.0,creatorId_10.0
f60,6.0,participantId_1.0
f74,6.0,skillSlot_2.0
f69,5.0,participantId_9.0
f75,5.0,skillSlot_3.0
f115,4.0,wardType_SIGHT_WARD
f10,3.0,bounty
f25,3.0,killStreakLength
f203,3.0,2_championStats_spellVamp
f18,2.0,creatorId_4.0
f32,2.0,killerId_2.0
f38,2.0,killerId_8.0
f39,2.0,killerId_9.0
f94,2.0,type_ITEM_UNDO
f114,2.0,wardType_CONTROL_WARD
f369,2.0,5_championStats_magicPenPercent
f4,1.0,assistingParticipantIds_4
f5,1.0,assistingParticipantIds_5
f8,1.0,assistingParticipantIds_8
f9,1.0,assistingParticipantIds_9
f16,1.0,creatorId_2.0
f20,1.0,creatorId_6.0
f21,1.0,creatorId_7.0
f22,1.0,creatorId_8.0
f23,1.0,creatorId_9.0
f24,1.0,goldGain
f33,1.0,killerId_3.0
f34,1.0,killerId_4.0
f35,1.0,killerId_5.0
f37,1.0,killerId_7.0
f72,1.0,shutdownBounty
f85,1.0,type_CHAMPION_KILL
f101,1.0,type_WARD_KILL
f103,1.0,victimId_1.0
f109,1.0,victimId_6.0
f111,1.0,victimId_8.0
f112,1.0,victimId_9.0
f113,1.0,wardType_BLUE_TRINKET
